delay,freq,condition,textbox.text,button.numClicks,,,,,,,
0.4,400,unexp ,200,1,,,,,,,
0.1,400,unexp ,200,2,,,,,,,
0.4,1000,exp,300,3,,,,,,,
0.4,1000,exp,200,4,,,,,,,
0.7,400,unexp ,0,5,,,,,,,
0.7,1000,exp,0,6,,,,,,,
0.7,1000,exp,0,7,,,,,,,
0.1,1000,exp,0,8,,,,,,,
0.7,1000,exp,0,9,,,,,,,
0.1,1000,exp,0,10,,,,,,,
0.4,1000,exp,0,11,,,,,,,
0.1,1000,exp,0,12,,,,,,,
0.7,1000,exp,0,13,,,,,,,
0.1,1000,exp,0,14,,,,,,,
0.4,1000,exp,0,15,,,,,,,
0.4,1000,exp,0,16,,,,,,,
0.7,400,unexp ,0,17,,,,,,,
0.1,1000,exp,0,18,,,,,,,
0.1,1000,exp,0,19,,,,,,,
0.4,1000,exp,0,20,,,,,,,
0.4,400,unexp ,0,21,,,,,,,
0.7,1000,exp,0,22,,,,,,,
0.7,1000,exp,0,23,,,,,,,
0.1,400,unexp ,0,24,,,,,,,
0.1,1000,exp,0,25,,,,,,,
0.1,1000,exp,0,26,,,,,,,
0.7,1000,exp,0,27,,,,,,,
0.4,1000,exp,0,28,,,,,,,
0.4,400,unexp ,0,29,,,,,,,
0.7,1000,exp,0,30,,,,,,,
0.4,1000,exp,0,31,,,,,,,
0.1,400,unexp ,0,32,,,,,,,
0.7,400,unexp ,0,33,,,,,,,
0.7,1000,exp,0,34,,,,,,,
0.1,1000,exp,0,35,,,,,,,
0.4,1000,exp,0,36,,,,,,,
0.7,1000,exp,0,37,,,,,,,
0.7,1000,exp,0,38,,,,,,,
0.4,1000,exp,0,39,,,,,,,
0.7,1000,exp,0,40,,,,,,,
0.1,1000,exp,0,41,,,,,,,
0.4,1000,exp,0,42,,,,,,,
0.1,1000,exp,0,43,,,,,,,
0.1,400,unexp ,0,44,,,,,,,
0.7,400,unexp ,0,45,,,,,,,
0.1,1000,exp,0,46,,,,,,,
0.4,400,unexp ,0,47,,,,,,,
0.4,1000,exp,0,48,,,,,,,
0.1,1000,exp,0,49,,,,,,,
0.7,400,unexp ,0,50,,,,,,,
0.4,1000,exp,100,51,,,,,,,
0.7,1000,exp,100,52,,,,,,,
0.1,400,unexp ,0,53,,,,,,,
0.7,1000,exp,0,54,,,,,,,
0.4,1000,exp,100,55,,,,,,,
0.1,1000,exp,0,56,,,,,,,
0.4,400,unexp ,0,57,,,,,,,
0.1,1000,exp,0,58,,,,,,,
0.7,1000,exp,0,59,,,,,,,
0.4,1000,exp,0,60,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
delay,freq,condition,textbox.text,button.numClicks,,,delay,freq,condition,textbox.text,button.numClicks
0.4,1000,exp,300,3,,,0.4,400,unexp ,200,1
0.4,1000,exp,200,4,,,0.1,400,unexp ,200,2
0.7,1000,exp,0,6,,,0.7,400,unexp ,0,5
0.7,1000,exp,0,7,,,0.7,400,unexp ,0,17
0.1,1000,exp,0,8,,,0.4,400,unexp ,0,21
0.7,1000,exp,0,9,,,0.1,400,unexp ,0,24
0.1,1000,exp,0,10,,,0.4,400,unexp ,0,29
0.4,1000,exp,0,11,,,0.1,400,unexp ,0,32
0.1,1000,exp,0,12,,,0.7,400,unexp ,0,33
0.7,1000,exp,0,13,,,0.1,400,unexp ,0,44
0.1,1000,exp,0,14,,,0.7,400,unexp ,0,45
0.4,1000,exp,0,15,,,0.4,400,unexp ,0,47
0.4,1000,exp,0,16,,,0.7,400,unexp ,0,50
0.1,1000,exp,0,18,,,0.1,400,unexp ,0,53
0.1,1000,exp,0,19,,,0.4,400,unexp ,0,57
0.4,1000,exp,0,20,,,,,,,
0.7,1000,exp,0,22,,,,,AVERAGE,26.66666667,
0.7,1000,exp,0,23,,,,,,,
0.1,1000,exp,0,25,,,,,,,
0.1,1000,exp,0,26,,,,,,,
0.7,1000,exp,0,27,,,,,,,
0.4,1000,exp,0,28,,,,,,,
0.7,1000,exp,0,30,,,,,,,
0.4,1000,exp,0,31,,,,,,,
0.7,1000,exp,0,34,,,,,,,
0.1,1000,exp,0,35,,,,,,,
0.4,1000,exp,0,36,,,,,,,
0.7,1000,exp,0,37,,,,,,,
0.7,1000,exp,0,38,,,,,,,
0.4,1000,exp,0,39,,,,,,,
0.7,1000,exp,0,40,,,,,,,
0.1,1000,exp,0,41,,,,,,,
0.4,1000,exp,0,42,,,,,,,
0.1,1000,exp,0,43,,,,,,,
0.1,1000,exp,0,46,,,,,,,
0.4,1000,exp,0,48,,,,,,,
0.1,1000,exp,0,49,,,,,,,
0.4,1000,exp,100,51,,,,,,,
0.7,1000,exp,100,52,,,,,,,
0.7,1000,exp,0,54,,,,,,,
0.4,1000,exp,100,55,,,,,,,
0.1,1000,exp,0,56,,,,,,,
0.1,1000,exp,0,58,,,,,,,
0.7,1000,exp,0,59,,,,,,,
0.4,1000,exp,0,60,,,,,,,
,,,,,,,,,,,
,,AVAERAGE,17.77777778,,,,DIFFRENCE - =,-8.888888889,,,
