study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
book ,_o_s_,house,[0.001851851851851852],[-0.30462962962962964],[1],[0],[0],[5.482590599916875],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
tiger,_oo_,book,[0.001851851851851852],[-0.3055555555555556],[1],[0],[0],[3.339235999970697],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
vase,_a_e,vase,[0.001851851851851852],[-0.3055555555555556],[1],[0],[0],[3.340849500033073],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
cushion,_ea_o_,,[0.001851851851851852],[-0.3055555555555556],[1],[0],[0],[3.2403129999293014],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
piano,_p_a_d_,,[0.001851851851851852],[-0.3055555555555556],[1],[0],[0],[5.318207400036044],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
,t_g_r,tiger,[0.001851851851851852],[-0.3055555555555556],[1],[0],[0],[5.489209200022742],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
,c_m_r_,camera,[0.026851851851851852],[-0.3111111111111111],[1],[0],[0],[5.721705799922347],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
,_ia_n_,piano,[0.04259259259259259],[-0.31203703703703706],[1],[0],[0],[5.439223199966364],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
,c_s_h_o_n,cushion,[0.04259259259259259],[-0.31203703703703706],[1],[0],[0],[6.637548099970445],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
,o_a_n_e,orange,[0.04259259259259259],[-0.31203703703703706],[1],[0],[0],[5.022120199981146],['text_3'],181553,1,2022-10-17_13h30.13.569,word priming experiment_tutorial5,2022.2.2,60.07820981
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,prop of hit from study words,,0.6,,,,,,,,,,,
,,prop hit for non primed words,,0.2,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,priming score,,0.4,,,,,,,,,,,
